,char,dec,hex,freq,rate,acc_rate
81,百,30334,0x767e,2540574,0.001894528693237929,0.3135583368513021
82,使,20351,0x4f7f,2533456,0.0018892207371467198,0.3154475575884488
83,元,20803,0x5143,2512773,0.001873797239558285,0.31732135482800705
84,卷,21367,0x5377,2484323,0.0018525818207896843,0.31917393664879673
85,皆,30342,0x7686,2474081,0.001844944270032988,0.32101888091882974
86,同,21516,0x540c,2466560,0.0018393357932470953,0.3228582167120768
87,去,21435,0x53bb,2443401,0.0018220659203732105,0.32468028263245
88,謂,35586,0x8b02,2403796,0.0017925321186041268,0.32647281475105416
89,東,26481,0x6771,2384845,0.0017784001888648032,0.328251214939919
90,我,25105,0x6211,2372219,0.0017689848680432795,0.33002019980796227
91,正,27491,0x6b63,2371953,0.0017687865094706099,0.33178898631743287
92,軍,36557,0x8ecd,2368395,0.0017661332771339252,0.3335551195945668
93,當,30070,0x7576,2366368,0.00176462172515347,0.33531974131972025
94,入,20837,0x5165,2365405,0.0017639036074636927,0.33708364492718396
95,地,22320,0x5730,2362152,0.00176147781634755,0.3388451227435315
96,若,33509,0x82e5,2339164,0.0017443354596989526,0.34058945820323044
97,及,21450,0x53ca,2309532,0.0017222386129871362,0.3423116968162176
98,七,19971,0x4e03,2306087,0.00171966964575839,0.34403136646197596
99,的,30340,0x7684,2305786,0.001719445187373527,0.3457508116493495
100,家,23478,0x5bb6,2281182,0.0017010977651105165,0.34745190941446
101,八,20843,0x516b,2266149,0.0016898875229190095,0.349141796937379
102,諸,35576,0x8af8,2261102,0.0016861239300007273,0.35082792086737974
103,西,35199,0x897f,2237797,0.0016687451836245502,0.35249666605100427
104,成,25104,0x6210,2228295,0.0016616594574685134,0.35415832550847276
105,陽,38525,0x967d,2220447,0.0016558071338658427,0.3558141326423386
106,分,20998,0x5206,2215475,0.0016520994691165464,0.3574662321114551
107,前,21069,0x524d,2177606,0.0016238602180322532,0.35909009232948735
108,已,24050,0x5df2,2173686,0.001620937039066597,0.3607110293685539
109,臣,33251,0x81e3,2172000,0.0016196797738277971,0.36233070914238175
110,九,20061,0x4e5d,2153141,0.001605616449309096,0.36393632559169087
111,先,20808,0x5148,2143615,0.001598512826138984,0.36553483841782985
112,氣,27683,0x6c23,2129043,0.0015876463557595094,0.3671224847735894
113,等,31561,0x7b49,2115370,0.0015774502776989443,0.36869993505128834
114,非,38750,0x975e,2101503,0.001567109532107936,0.37026704458339627
115,兩,20841,0x5169,2092569,0.0015604473686183515,0.37182749195201464
116,字,23383,0x5b57,2082387,0.001552854560396844,0.3733803465124115
117,安,23433,0x5b89,2074145,0.001546708427479768,0.37492705493989126
118,法,27861,0x6cd5,2073284,0.0015460663720998115,0.37647312131199107
119,乃,20035,0x4e43,2063308,0.0015386271799157846,0.37801174849190683
120,從,24478,0x5f9e,2053193,0.0015310843341919042,0.37954283282609874
121,矣,30691,0x77e3,2041350,0.001522252903454592,0.38106508572955333
122,了,20102,0x4e86,2027823,0.001512165698896319,0.38257725142844967
123,士,22763,0x58eb,2025390,0.0015103513890944208,0.3840876028175441
124,多,22810,0x591a,2025208,0.0015102156700710152,0.38559781848761515
125,門,38272,0x9580,2018802,0.001505438658730711,0.38710325714634586
126,長,38263,0x9577,2018772,0.0015054162874631168,0.38860867343380895
127,小,23567,0x5c0f,2017379,0.001504377514937821,0.39011305094874676
128,夫,22827,0x592b,2001874,0.0014928152981361637,0.3916058662468829
129,君,21531,0x541b,1992620,0.00148591450779224,0.39309178075467516
130,世,19990,0x4e16,1982742,0.0014785483950823545,0.39457032914975754
131,傳,20659,0x50b3,1981585,0.0014776856098621342,0.39604801475961965
132,經,32147,0x7d93,1978138,0.0014751151512155483,0.3975231299108352
133,兵,20853,0x5175,1958392,0.0014603903828849757,0.3989835202937202
134,帝,24093,0x5e1d,1947342,0.0014521502993210728,0.40043567059304125
135,令,20196,0x4ee4,1926220,0.0014363994355168412,0.40187207002855807
136,風,39080,0x98a8,1876230,0.0013991214466155283,0.4032711914751736
137,學,23416,0x5b78,1869430,0.001394050625960819,0.4046652421011344
138,詩,35433,0x8a69,1854612,0.0013830007111870712,0.4060482428123215
139,縣,32291,0x7e23,1854516,0.0013829291231307692,0.40743117193545225
140,史,21490,0x53f2,1842516,0.0013739806160930467,0.4088051525515453
141,萬,33836,0x842c,1828287,0.0013633699238730672,0.4101685224754184
142,平,24179,0x5e73,1825712,0.0013614497234045557,0.411529972198823
143,城,22478,0x57ce,1802957,0.0013444811169342741,0.41287445331575723
144,外,22806,0x5916,1798722,0.001341323039658878,0.4142157763554161
145,即,21363,0x5373,1795729,0.001339091132861886,0.415554867488278
146,治,27835,0x6cbb,1768447,0.0013187467021116236,0.41687361419038965
147,金,37329,0x91d1,1760745,0.0013130032520112453,0.4181866174424009
148,主,20027,0x4e3b,1731977,0.0012915506978061447,0.419478168140207
149,北,21271,0x5317,1723096,0.0012849280568893102,0.4207630961970963
150,白,30333,0x767d,1717676,0.0012808863145439388,0.4220439825116402
151,氏,27663,0x6c0f,1688699,0.001259277907174598,0.42330326041881483
152,說,35498,0x8aaa,1676302,0.0012500333536957107,0.42455329377251055
153,德,24503,0x5fb7,1657068,0.0012356903883320811,0.42578898416084265
154,師,24107,0x5e2b,1653277,0.0012328634058170805,0.42702184756665973
155,數,25976,0x6578,1652903,0.0012325845106810715,0.4282544320773408
156,神,31070,0x795e,1631442,0.0012165808515530244,0.42947101292889384
157,高,39640,0x9ad8,1626312,0.0012127553647943979,0.4306837682936882
158,必,24517,0x5fc5,1614477,0.001203929899728444,0.43188769819341666
159,通,36890,0x901a,1584384,0.001181489281204595,0.43306918747462125
160,或,25110,0x6216,1571746,0.0011720650118760335,0.4342412524864973
161,朝,26397,0x671d,1564560,0.0011667063475782774,0.43540795883407557
162,馬,39340,0x99ac,1563095,0.0011656138840107552,0.43657357271808633
163,千,21315,0x5343,1552989,0.0011580777496671532,0.4377316504677535
164,欲,27442,0x6b32,1548307,0.0011545863405046017,0.43888623680825806
165,江,27743,0x6c5f,1546301,0.0011530904484114625,0.4400393272566695
166,命,21629,0x547d,1544533,0.001151772035041238,0.44119109929171074
167,因,22240,0x56e0,1542255,0.0011500733101219103,0.44234117260183264
168,復,24489,0x5fa9,1536824,0.001146023364978421,0.4434871959668111
169,石,30707,0x77f3,1531692,0.0011421963868019549,0.44462939235361304
170,民,27665,0x6c11,1528469,0.0011397929669534066,0.4457691853205664
171,宗,23447,0x5b97,1523950,0.0011364231083447842,0.4469056084289112
172,古,21476,0x53e4,1520610,0.001133932440552618,0.4480395408694638
173,死,27515,0x6b7b,1488306,0.0011098430596070687,0.4491493839290709
174,處,34389,0x8655,1485315,0.0011076126442279165,0.4502569965732988
175,各,21508,0x5404,1482894,0.0011058072829330558,0.4513628038562319
176,清,28165,0x6e05,1482740,0.001105692443759405,0.4524684962999913
177,禮,31150,0x79ae,1479590,0.0011033434606620028,0.4535718397606533
178,司,21496,0x53f8,1474483,0.0010995351252085321,0.45467137488586185
179,義,32681,0x7fa9,1469304,0.001095673098712835,0.4557670479845747
180,意,24847,0x610f,1469123,0.0010955381253983493,0.45686258610997305
181,志,24535,0x5fd7,1465571,0.0010928893673151834,0.4579554754772882
182,聞,32862,0x805e,1465256,0.0010926544690054432,0.4590481299462936
183,餘,39192,0x9918,1461056,0.0010895224915422402,0.4601376524378359
184,都,37117,0x90fd,1453028,0.0010835359403340039,0.4612211883781699
185,身,36523,0x8eab,1449004,0.0010805352076406875,0.46230172358581056
186,歸,27512,0x6b78,1434024,0.0010693644880219303,0.4633710880738325
187,里,37324,0x91cc,1431791,0.0010676993200039943,0.4644387873938365
188,武,27494,0x6b66,1429479,0.0010659752409813929,0.4655047626348179
189,進,36914,0x9032,1419997,0.0010589044290037525,0.46656366706382163
190,過,36942,0x904e,1418478,0.0010577716971545607,0.46762143876097617
191,他,20182,0x4ed6,1413828,0.0010543041506774432,0.4686757429116536
192,內,20839,0x5167,1412389,0.0010532310755418364,0.46972897398719543
193,服,26381,0x670d,1409797,0.0010512981980216882,0.4707802721852171
194,和,21644,0x548c,1401233,0.0010449119468324336,0.47182518413204955
195,于,20110,0x4e8e,1394174,0.0010396479875674932,0.47286483211961705
196,重,37325,0x91cd,1370236,0.0010217972074450762,0.4738866293270621
197,部,37096,0x90e8,1353162,0.0010090649733482365,0.47489569430041034
198,錢,37666,0x9322,1349927,0.0010066526049926504,0.475902346905403
199,定,23450,0x5b9a,1340594,0.0009996929036440616,0.47690203980904705
200,漢,28450,0x6f22,1333609,0.0009944841268391873,0.4778965239358862
201,張,24373,0x5f35,1331346,0.0009927965875536568,0.47888932052343985
202,府,24220,0x5e9c,1331200,0.0009926877140513644,0.4798820082374912
203,起,36215,0x8d77,1330995,0.0009925348437228032,0.480874543081214
204,應,25033,0x61c9,1330185,0.000991930819497757,0.4818664739007118
205,立,31435,0x7acb,1324827,0.000987935311105414,0.4828544092118172
206,李,26446,0x674e,1319181,0.0009837250385441654,0.4838381342503614
207,少,23569,0x5c11,1308187,0.0009755267146797718,0.48481366096504114
208,黃,40643,0x9ec3,1307391,0.0009749331303796028,0.48578859409542074
209,常,24120,0x5e38,1307101,0.0009747168747928579,0.4867633109702136
210,初,21021,0x521d,1304579,0.0009728361968970965,0.48773614716711067
211,集,38598,0x96c6,1302897,0.0009715819144939758,0.48870772908160465
212,實,23526,0x5be6,1301520,0.0009705550733113971,0.48967828415491604
213,間,38291,0x9593,1295643,0.0009661725419896724,0.4906444566969057
214,守,23432,0x5b88,1287209,0.000959883232959993,0.4916043399298657
215,物,29289,0x7269,1287137,0.0009598295419177667,0.49256416947178344
216,乎,20046,0x4e4e,1269901,0.0009469765029759177,0.49351114597475937
217,河,27827,0x6cb3,1269084,0.0009463672587884328,0.4944575132335478
218,合,21512,0x5408,1256665,0.0009371062997133097,0.49539461953326114
219,問,21839,0x554f,1250167,0.0009322606831523828,0.4963268802164135
220,發,30332,0x767c,1239704,0.0009244583307244085,0.49725133854713793
221,取,21462,0x53d6,1238839,0.0009238132925087727,0.4981751518396467
222,注,27880,0x6ce8,1233989,0.0009201966042476931,0.4990953484438944
223,居,23621,0x5c45,1233883,0.0009201175591021933,0.5000154660029966
224,老,32769,0x8001,1224411,0.0009130542042137509,0.5009285202072103
225,食,39135,0x98df,1222823,0.0009118700184490923,0.5018403902256594
226,周,21608,0x5468,1221222,0.0009106761384684761,0.5027510663641279
227,著,33879,0x8457,1219728,0.0009095620493422795,0.5036606284134701
228,海,28023,0x6d77,1215793,0.0009066276847428264,0.504567256098213
229,善,21892,0x5584,1201432,0.0008959185589454318,0.5054631746571584
230,春,26149,0x6625,1194589,0.0008908156728071704,0.5063539903299655
231,陰,38512,0x9670,1192618,0.0008893458805262246,0.5072433362104918
232,原,21407,0x539f,1189239,0.0008868261300861858,0.508130162340578
233,便,20415,0x4fbf,1189126,0.0008867418649782473,0.5090169042055562
234,光,20809,0x5149,1183192,0.0008823168282480934,0.5098992210338044
235,第,31532,0x7b2c,1163066,0.0008673086905279929,0.5107665297243323
236,尚,23578,0x5c1a,1162032,0.0008665376275049092,0.5116330673518372
237,陳,38515,0x9673,1153213,0.0008599612205411029,0.5124930285723783
238,會,26371,0x6703,1152708,0.0008595846375365986,0.5133526132099149
239,開,38283,0x958b,1145762,0.0008544049433795969,0.5142070181532945
240,宋,23435,0x5b8b,1143150,0.0008524571516810526,0.5150594753049755
241,足,36275,0x8db3,1141802,0.0008514519360571484,0.5159109272410327
242,記,35352,0x8a18,1140986,0.0008508434375785833,0.5167617706786113
243,理,29702,0x7406,1139979,0.0008500925086963344,0.5176118631873077
244,樂,27138,0x6a02,1135156,0.0008464959545760897,0.5184583591418838
245,論,35542,0x8ad6,1126147,0.0008397778629175194,0.5192981370048013
246,遂,36930,0x9042,1121240,0.0008361186692480107,0.5201342556740494
247,聖,32854,0x8056,1121120,0.0008360291841776335,0.5209702848582269
248,雖,38614,0x96d6,1120820,0.0008358054715016904,0.5218060903297286
249,雲,38642,0x96f2,1115244,0.0008316473985648286,0.5226377377282934
250,皇,30343,0x7687,1114557,0.000831135096536919,0.5234688728248302
251,要,35201,0x8981,1096092,0.0008173655813326232,0.5242862384061628
252,聲,32882,0x8072,1092299,0.0008145371073997831,0.5251007755135626
253,按,25353,0x6309,1092265,0.0008145117532965096,0.5259152872668591
254,女,22899,0x5973,1077497,0.0008034991239687522,0.5267187863908278
255,甚,29978,0x751a,1074830,0.0008015103182796183,0.5275202967091074
256,請,35531,0x8acb,1073254,0.0008003350810219975,0.5283206317901293
257,左,24038,0x5de6,1061401,0.000791496193195487,0.5291121279833249
258,流,27969,0x6d41,1056055,0.0007875096333101815,0.529899637616635
259,好,22909,0x597d,1054232,0.0007861502059493675,0.5306857878225845
260,改,25913,0x6539,1049612,0.0007827050307398442,0.5314684928533243
261,唐,21776,0x5510,1044714,0.0007790525484506138,0.5322475454017749
262,宜,23452,0x5b9c,1043715,0.0007783075852397234,0.5330258529870145
263,語,35486,0x8a9e,1041008,0.0007762889511937971,0.5338021419382083
264,盡,30433,0x76e1,1038950,0.0007747542822368277,0.5345768962204451
265,頭,38957,0x982d,1038778,0.0007746260203026203,0.5353515222407478
266,功,21151,0x529f,1035489,0.0007721733836653646,0.5361236956244132
267,玉,29577,0x7389,1034120,0.0007711525081541443,0.5368948481325674
268,真,30495,0x771f,1032378,0.0007698534832158349,0.5376647016157832
269,始,22987,0x59cb,1022811,0.0007627192859800105,0.5384274209017632
270,並,20006,0x4e26,1022218,0.0007622770805905631,0.5391896979823537
271,節,31680,0x7bc0,1018569,0.0007595559887421756,0.5399492539710959
272,難,38627,0x96e3,1017563,0.0007588058055688465,0.5407080597766648
273,花,33457,0x82b1,1017446,0.0007587185576252288,0.54146677833429
274,吾,21566,0x543e,1016204,0.0007577923871468244,0.5422245707214368
275,到,21040,0x5230,1014462,0.000756493362208515,0.5429810640836453
276,還,36996,0x9084,1013912,0.0007560832223026194,0.5437371473059479
277,加,21152,0x52a0,1011486,0.0007542741324631598,0.5444914214384111
278,既,26082,0x65e2,1003589,0.0007483852691234185,0.5452398067075346
279,祖,31062,0x7956,993046,0.0007405232599818594,0.5459803299675164
280,父,29238,0x7236,991812,0.0007396030551748135,0.5467199330226913
281,度,24230,0x5ea6,989846,0.0007381369914384667,0.5474580700141297
282,稱,31281,0x7a31,988852,0.0007373957567721753,0.548195465770902
283,病,30149,0x75c5,985239,0.000734701510444901,0.5489301672813468
284,龍,40845,0x9f8d,982477,0.0007326418624083852,0.5496628091437552
285,觀,35264,0x89c0,980987,0.000731530756117868,0.5503943398998731
286,思,24605,0x601d,972689,0.0007253428635012828,0.5511196827633743
287,受,21463,0x53d7,971321,0.0007243227336989823,0.5518440054970732
288,新,26032,0x65b0,970603,0.0007237873146945586,0.5525677928117678
289,歲,27506,0x6b72,969900,0.000723263081323932,0.5532910558930918
290,興,33288,0x8208,966771,0.0007209297581138458,0.5540119856512057
291,次,27425,0x6b21,964564,0.0007192839785278247,0.5547312696297335
292,右,21491,0x53f3,963310,0.0007183488595423826,0.5554496184892759
293,舉,33289,0x8209,960056,0.0007159223227173202,0.5561655408119932
294,解,35299,0x89e3,956623,0.0007133623039956117,0.5568789031159889
295,往,24448,0x5f80,948276,0.0007071378716419558,0.5575860409876309
296,口,21475,0x53e3,945227,0.0007048642051454545,0.5582909051927764
297,首,39318,0x9996,944708,0.000704477182216073,0.5589953823749925
298,秋,31179,0x79cb,943912,0.000703883597915904,0.5596992659729084
299,且,19988,0x4e14,939008,0.0007002266413731548,0.5603994926142816
300,遠,36960,0x9060,934996,0.0006972348571868761,0.5610967274714684
301,色,33394,0x8272,933439,0.0006960737883987316,0.5617928012598672
302,這,36889,0x9019,932684,0.0006955107781642749,0.5624883120380315
303,據,25818,0x64da,917614,0.0006842729447427349,0.5631725849827742
304,章,31456,0x7ae0,917001,0.0006838158251748913,0.5638564008079491
305,易,26131,0x6613,914804,0.0006821775026780682,0.5645385783106271
306,引,24341,0x5f15,911775,0.000679918750359963,0.5652184970609871
307,酒,37202,0x9152,908688,0.0006776167469245089,0.5658961138079116
308,林,26519,0x6797,906951,0.0006763214505307986,0.5665724352584424
309,惟,24799,0x60df,906176,0.0006757435261179456,0.5672481787845604
310,郡,37089,0x90e1,905648,0.0006753497918082858,0.5679235285763686
311,親,35242,0x89aa,902868,0.0006732767210112134,0.5685968052973799
312,火,28779,0x706b,901950,0.0006725921602228276,0.5692693974576027
313,寒,23506,0x5bd2,900711,0.0006716682268711827,0.5699410656844739
314,力,21147,0x529b,899410,0.0006706980595665097,0.5706117637440404
315,焉,28937,0x7109,899114,0.0006704773297262458,0.5712822410737667
316,廣,24291,0x5ee3,898385,0.0006699337079237042,0.5719521747816904
317,異,30064,0x7570,898262,0.0006698419857265675,0.572622016767417
318,路,36335,0x8def,893437,0.0006662439401884832,0.5732882607076054
319,孫,23403,0x5b6b,891668,0.0006649247811093389,0.5739531854887148
320,利,21033,0x5229,889195,0.0006630806429506483,0.5746162661316654
321,兒,20818,0x5152,887347,0.0006617025728668389,0.5752779687045322
322,化,21270,0x5316,886240,0.000660877073092609,0.5759388457776248
323,蓋,33995,0x84cb,886061,0.000660743591195963,0.5765995893688207
324,就,23601,0x5c31,885526,0.0006603446369238646,0.5772599340057446
325,制,21046,0x5236,879027,0.000655498274654018,0.5779154322803987
326,手,25163,0x624b,878886,0.0006553931296963247,0.578570825410095
327,奏,22863,0x594f,875451,0.0006528316195567766,0.5792236570296517
328,舊,33290,0x820a,869831,0.0006486407354274431,0.5798722977650792
329,個,20491,0x500b,868921,0.0006479621403104158,0.5805202599053896
330,建,24314,0x5efa,863719,0.0006440829625095631,0.5811643428678992
331,劉,21129,0x5289,863541,0.0006439502263218369,0.581808293094221
332,侯,20399,0x4faf,862096,0.0006428726769327111,0.5824511657711537
333,情,24773,0x60c5,861163,0.0006421769305105282,0.5830933427016642
334,京,20140,0x4eac,861104,0.0006421329336842594,0.5837354756353486
335,議,35696,0x8b70,859552,0.0006409755934407139,0.5843764512287892
336,政,25919,0x653f,857850,0.000639706396859197,0.5850161576256484
337,直,30452,0x76f4,853857,0.0006367287811423947,0.5856528864067908
338,求,27714,0x6c42,846073,0.000630924182910592,0.5862838105897014
339,屬,23660,0x5c6c,845537,0.0006305244829295736,0.5869143350726309
340,由,30001,0x7531,844359,0.0006296460378220373,0.5875439811104529
341,修,20462,0x4fee,844356,0.0006296438006952778,0.5881736249111482
342,熱,29105,0x71b1,843769,0.0006292060695593493,0.5888028309807075
343,回,22238,0x56de,843204,0.0006287847440196564,0.5894316157247271
344,草,33609,0x8349,838080,0.0006249637315145489,0.5900565794562417
345,深,28145,0x6df1,836510,0.0006237929685104468,0.5906803724247521
346,母,27597,0x6bcd,834206,0.0006220748551592041,0.5913024472799113
347,半,21322,0x534a,830856,0.0006195767302778399,0.5919220240101891
348,位,20301,0x4f4d,828442,0.0006177765889454179,0.5925398005991346
349,詔,35412,0x8a54,827348,0.0006169607833871456,0.5931567613825217
350,郎,37070,0x90ce,826668,0.0006164537013216747,0.5937732150838434
351,面,38754,0x9762,823745,0.0006142739941490694,0.5943874890779924
352,齊,40778,0x9f4a,822976,0.0006137005439897353,0.5950011896219821
353,任,20219,0x4efb,820847,0.0006121129296994594,0.5956133025516815
354,耳,32819,0x8033,815289,0.0006079682795231542,0.5962212708312047
355,御,24481,0x5fa1,814331,0.000607253890377976,0.5968285247215827
356,空,31354,0x7a7a,813148,0.0006063717167258404,0.5974348964383085
357,木,26408,0x6728,811295,0.0006049899180974322,0.5980398863564059
358,失,22833,0x5931,811178,0.0006049026701538143,0.5986447890265597
359,更,26356,0x66f4,811108,0.0006048504705294277,0.5992496394970891
360,侍,20365,0x4f8d,810694,0.0006045417470366262,0.5998541812441257
361,華,33775,0x83ef,804527,0.0005999429601281566,0.6004541242042538
362,夜,22812,0x591c,801697,0.0005978326038850937,0.6010519568081389
363,止,27490,0x6b62,799600,0.0005962688522802516,0.6016482256604192
364,散,25955,0x6563,797888,0.0005949921986095365,0.6022432178590288
365,仁,20161,0x4ec1,794140,0.0005921972815780878,0.6028354151406069
366,你,20320,0x4f60,792949,0.0005913091422545939,0.6034267242828615
367,信,20449,0x4fe1,792328,0.0005908460570153917,0.6040175703398769
368,凡,20961,0x51e1,787721,0.0005874105760218261,0.6046049809158988
369,教,25945,0x6559,786575,0.0005865559935997235,0.6051915369094985
370,目,30446,0x76ee,782407,0.0005834478788219545,0.6057749847883204
371,全,20840,0x5168,781951,0.0005831078355545211,0.6063580926238749
372,每,27599,0x6bcf,780943,0.0005823561609633524,0.6069404487848382
373,奉,22857,0x5949,780690,0.0005821674966066403,0.6075226162814449
374,弟,24351,0x5f1f,778833,0.0005807827151425528,0.6081033989965874
375,久,20037,0x4e45,778155,0.0005802771244949215,0.6086836761210823
376,猶,29494,0x7336,774883,0.0005778371649093025,0.6092615132859917
377,補,35036,0x88dc,774469,0.000577528441416501,0.6098390417274081
378,眾,30526,0x773e,773714,0.0005769654311820443,0.6104160071585901
379,望,26395,0x671b,766995,0.0005719550129498394,0.6109879621715399
380,香,39321,0x9999,766380,0.0005714964019641561,0.6115594585735041
381,殺,27578,0x6bba,765102,0.0005705433859646387,0.6121300019594688
382,置,32622,0x7f6e,761833,0.000568105663505779,0.6126981076229745
383,青,38738,0x9752,760711,0.000567268978097752,0.6132653766010723
384,近,36817,0x8fd1,759141,0.0005660982150936499,0.613831474816166
385,代,20195,0x4ee3,758216,0.0005654084343428255,0.6143968832505088
386,封,23553,0x5c01,757827,0.0005651183535730194,0.6149620016040818
387,參,21443,0x53c3,755886,0.0005636709325596677,0.6155256725366415
388,那,37027,0x90a3,750068,0.0005593323980642119,0.6160850049347056
389,致,33268,0x81f4,749727,0.0005590781113225565,0.6166440830460282
390,爾,29246,0x723e,746428,0.0005566180175961027,0.6172007010636243
391,聽,32893,0x807d,745688,0.0005560661929954431,0.6177567672566198
392,動,21205,0x52d5,733658,0.0005470953146901261,0.6183038625713099
393,堂,22530,0x5802,733329,0.0005468499764555085,0.6188507125477654
